City,Country,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
Yellowknife,CA,62.4539717,-114.3717887,46.4,61,75,4.7
Linxia,CN,35.601182,103.210538,47.9,100,92,3.94
Nizhneyansk,RU,71.450058,136.1122279,36.02,99,76,5.39
Tubruq,LY,32.0681759,23.941751,70.4,86,0,9.98
Champerico,GT,14.2974022,-91.9087026,77.06,100,32,4.61
Kuito,AO,-12.3940412,16.9417632,53.93,80,12,2.48
Mooi river,ZA,-29.2106317,30.0029572,47.54,91,48,1.59
Hilo,US,19.7070942,-155.0884869,80.6,74,90,9.17
Kerouane,GN,9.2702601,-9.0073673,67.16,95,48,2.82
Ola,RU,59.5818476,151.2885614,51.8,32,0,4.47
Canavieiras,BR,-15.6752242,-38.9469418,70.49,100,92,6.85
Riachao das neves,BR,-11.7511866,-44.9146637,70.13,52,0,9.64
Clyde river,CA,70.47636500000002,-68.60126509999999,33.8,100,90,11.41
Mergui,MM,12.4492291,98.62706279999999,83.09,100,100,11.65
Gushikawa,JP,26.3577675,127.8691991,84.2,83,40,24.16
Stornoway,GB,58.209435,-6.3848692,48.2,93,92,17.22
Kloulklubed,PW,7.040244599999999,134.256193,86.0,74,90,6.96
Vardo,NO,70.37063979999999,31.1095471,46.1,100,92,33.35
Samusu,WS,-14.0056774,-171.4299586,87.8,66,40,16.11
Sentyabrskiy,RU,60.493056,72.19638909999999,41.78,99,92,6.96
Puerto del rosario,ES,28.500821,-13.8628367,75.2,78,0,10.29
Cabra,PH,53.3578134,-6.2895607,44.6,93,40,13.87
Formoso do araguaia,BR,-11.8165893,-49.51892650000001,75.98,42,8,10.2
Vila velha,BR,-20.3477821,-40.2949528,71.6,83,75,6.93
Borama,SO,9.936009199999999,43.184402,64.55,62,8,2.15
Plainfield,US,39.70421229999999,-86.39943869999999,62.6,88,90,4.7
Cidreira,BR,-30.1768543,-50.2089307,68.51,82,0,11.77
Carbonia,IT,39.16442809999999,8.522885300000002,64.4,82,0,6.93
Santa cruz de la palma,ES,28.6839885,-17.7645747,71.6,68,0,5.82
Saint-augustin,CA,51.2327688,-58.65154440000001,54.02,94,20,6.17
Wilmington,US,39.7390721,-75.5397878,73.4,100,90,6.62
Vaini,TO,-21.1935,-175.1751534,77.0,65,40,6.93
Attawapiskat,CA,52.9258846,-82.42889219999999,49.88,76,20,8.41
Katsuura,JP,35.152283,140.3209324,82.4,61,75,11.41
Utiroa,KI,-1.204189,174.75942,83.63,100,48,18.14
Ancud,CL,-41.8675003,-73.8276965,41.87,99,80,8.3
Samalaeulu,WS,-13.4973599,-172.3105939,78.77,100,92,12.77
Urumqi,CN,43.825592,87.61684799999999,53.6,40,0,2.24
Tiksi,RU,71.6374819,128.8644717,35.21,100,56,5.73
Sherlovaya gora,RU,50.5245767,116.3409532,62.03,58,32,19.26
Hokitika,NZ,-42.7173686,170.9665427,55.46,96,92,10.76
Cabo rojo,US,36.1721945,-115.3625718,96.8,21,1,3.36
Urfa,TR,37.1674039,38.7955149,77.0,33,0,6.93
Grand river south east,MU,-20.2888094,57.78141199999999,73.4,56,75,12.75
Ibanda,UG,-0.096489,30.5739579,62.3,100,92,3.6
De panne,BE,51.0962794,2.5905629,55.4,66,20,18.34
Kapaa,US,22.0881391,-159.3379818,86.0,58,75,16.11
Korla,CN,41.725891,86.17463300000001,68.69,50,8,4.16
Codrington,AG,17.6425736,-61.8204456,77.0,94,20,4.7
Bilma,NE,18.6929789,12.9176518,72.29,18,0,10.76
Satitoa,WS,-14.0287893,-171.4327056,76.79,100,100,9.86
Puerto cabezas,NI,14.0391161,-83.39496319999999,85.7,95,44,7.96
Wamba,CD,2.1468409,27.9834738,70.58,95,92,2.37
Olafsvik,IS,64.89604849999999,-23.7060262,46.1,100,0,14.23
Ixtapa,MX,17.6625661,-101.58734,82.4,74,90,8.75
Hofn,IS,64.24970259999999,-15.2020077,47.72,96,0,24.85
Likhoslavl,RU,57.1246162,35.4614485,54.92,88,92,13.44
Aksu,CN,41.167548,80.263387,62.75,62,0,5.17
Port macquarie,AU,-31.433333,152.9,64.4,34,40,21.92
Lieksa,FI,63.3185051,30.02645279999999,51.23,100,92,2.59
Iqaluit,CA,63.74669300000001,-68.5169669,42.8,81,90,14.99
Mangochi,MW,-14.4861733,35.253304,54.92,90,0,3.38
Camocim,BR,-2.9014475,-40.8388865,80.03,70,0,17.13
Harper,LR,4.3759676,-7.700941599999999,77.6,100,68,6.06
Banswara,IN,23.5461394,74.4349761,78.23,96,56,4.16
Tulu bolo,ET,8.663281399999999,38.2163717,45.47,85,36,2.15
Sechura,PE,-5.5622396,-80.8187744,64.73,83,0,13.56
Burns lake,CA,54.2334148,-125.763613,47.72,78,0,2.26
Ahipara,NZ,-35.17133889999999,173.1532718,61.76,88,48,12.66
Klaksvik,FO,62.2271922,-6.5779064,44.6,93,92,29.97
Cocobeach,GA,0.9931336,9.5770844,78.8,78,75,9.17
Kahului,US,20.8893351,-156.4729469,86.0,70,40,10.29
Zamora,ES,41.5034712,-5.7467879,57.71,87,0,9.75
Fairmont,US,39.4850848,-80.1425781,69.8,100,90,4.7
Naples,US,26.1420358,-81.7948103,82.4,78,1,3.71
Chokurdakh,RU,70.622169,147.916168,35.03,88,80,13.78
Victoria,US,28.8052674,-97.0035982,80.6,69,1,13.56
Noumea,NC,-22.2558234,166.4505243,82.4,37,20,10.29
Lasa,CN,29.652491,91.17210999999999,51.59,54,0,2.37
Avarua,CK,-21.2129007,-159.7823059,82.4,69,40,4.7
Brookings,US,44.3113573,-96.79838769999999,77.0,69,1,10.29
Vostok,RU,46.4467186,135.825196,49.88,100,92,2.82
Yulara,AU,-25.2334936,130.9848698,62.6,25,0,18.34
Dukat,RU,47.216351,39.63639,66.2,88,24,6.71
Rokytnice nad jizerou,CZ,50.7291276,15.4486873,53.75,95,92,13.22
Barrow,US,71.29055559999999,-156.788611,37.4,100,90,8.05
Nushki,PK,29.5558052,66.0195894,62.3,37,0,2.26
Saryozek,KZ,44.3590349,77.9681544,49.79,41,36,4.16
Senanga,ZM,-16.1178235,23.2960171,61.31,42,0,9.64
Hirara,JP,24.8051928,125.2789544,80.6,94,75,35.57
Qaqortoq,GL,60.71898640000001,-46.03534579999999,42.8,75,100,3.36
Rudnaya pristan,RU,44.3630667,135.8151076,61.4,59,44,5.95
Kochubey,RU,44.3912121,46.5565748,71.21,100,0,9.64
Necochea,AR,-38.5544968,-58.73960879999999,53.48,70,8,11.65
Santa rosalia,MX,27.3361939,-112.2701486,85.7,93,0,9.98
Bajah,TN,36.7333193,9.1843676,66.2,68,0,2.24
Marsh harbour,BS,26.5241653,-77.09098089999999,83.36,100,0,7.29
Cabo san lucas,MX,22.8905327,-109.9167371,86.0,70,5,9.17
Palabuhanratu,ID,-6.9852341,106.5475399,80.84,77,0,5.06
Praia da vitoria,PT,38.7339162,-27.0646976,71.6,88,75,6.93
Sitka,US,57.0530556,-135.33,57.2,67,90,9.17
Faanui,PF,-16.5004126,-151.7414904,78.59,100,0,19.04
Srednekolymsk,RU,67.43730699999999,153.728674,34.13,71,88,5.61
Mahebourg,MU,-20.4059505,57.7034222,73.4,56,75,12.75
Trincomalee,LK,8.5873638,81.2152121,75.62,100,92,6.17
Abha,SA,18.2464685,42.5117238,71.6,32,0,3.36
Gijon,ES,43.5322015,-5.6611195,66.2,68,20,10.29
Kortkeros,RU,61.81713560000001,51.5568693,59.0,93,75,6.71
Honningsvag,NO,70.9822909,25.9702075,44.03,99,92,20.04
Nanortalik,GL,60.1424955,-45.2394951,40.52,90,100,26.53
Pierre,US,44.3683156,-100.3509665,82.4,39,1,8.05
Kawalu,ID,-7.410349200000001,108.2021667,79.04,61,0,2.82
Luderitz,NA,-26.6420382,15.1639082,57.2,50,0,20.8
Ambilobe,MG,-13.2026069,49.0514094,66.98,70,0,7.85
Praia,CV,14.93305,-23.5133267,80.6,83,20,11.41
Hasaki,JP,35.7453776,140.8272903,78.8,69,75,10.29
Batesville,US,35.769799,-91.6409721,73.4,69,1,4.7
Avera,PF,-16.789539,-151.4099893,78.95,100,8,17.13
Comodoro rivadavia,AR,-45.8656149,-67.4822429,44.6,81,0,6.93
Kruisfontein,ZA,-33.9843356,24.732102,57.8,94,32,12.66
Amurzet,RU,47.6999935,131.1243299,62.57,76,8,3.27
Saint-pierre,PM,46.8852,-56.3159,59.0,82,0,16.11
Sarh,TD,9.141208599999999,18.3682641,77.0,88,0,5.84
Bethel,US,40.6098147,-122.3585019,89.6,40,1,13.87
Nantucket,US,41.2834704,-70.099451,68.0,100,1,9.17
Tasiilaq,GL,65.6134561,-37.6335696,39.2,55,64,4.7
Aklavik,CA,68.219916,-135.0077881,60.8,51,75,5.82
Tucurui,BR,-3.8036143,-49.7728757,76.79,79,36,4.94
Maragogi,BR,-9.010379799999999,-35.2208051,73.28,94,92,11.43
Ponta do sol,CV,17.2004826,-25.0925624,77.96,100,0,14.56
Marienburg,SR,5.8467655,-55.0507157,81.83,98,8,17.69
Buchanan,LR,5.887246999999999,-10.0303723,74.81,100,92,1.03
Hobyo,SO,5.3515922,48.5249751,75.44,85,0,19.04
Ketchikan,US,55.34222219999999,-131.6461112,62.6,55,1,10.29
East london,ZA,-33.0291582,27.8545867,53.39,91,8,8.97
Kalanguy,RU,51.01920459999999,116.5108072,59.78,65,12,15.9
Yaan,CN,29.980537,103.013261,69.14,99,92,3.38
College,US,41.5077578,-71.3300034,71.6,82,20,3.36
Esperance,AU,-33.8608027,121.8896205,66.17,59,0,11.99
Pangnirtung,CA,66.1465578,-65.7012182,35.75,94,92,7.74
Mar del plata,AR,-38.0054771,-57.5426106,55.4,82,40,5.82
Georgetown,SH,-7.926222999999999,-14.4112011,74.63,100,80,24.29
Chuy,UY,-33.692754,-53.4552817,59.51,96,100,5.39
Descalvado,BR,-21.9159262,-47.6202824,77.0,45,0,4.7
Manjakandriana,MG,-18.9105687,47.8081645,48.2,100,40,2.24
Lorengau,PG,-2.0349854,147.279039,80.21,100,92,3.6
Hovd,MN,47.1129654,92.31107519999999,49.7,47,32,2.71
Zhucheng,CN,35.995654,119.410103,80.39,63,0,4.38
Marcona,PE,-15.3439659,-75.0844757,57.98,100,100,24.63
Vanimo,PG,-2.6896767,141.2998457,81.83,100,88,7.74
Port hardy,CA,50.7123867,-127.460393,57.2,71,5,5.82
Saskylakh,RU,71.954308,114.1198349,32.15,100,24,7.18
Calabar,NG,4.9757165,8.3417006,71.84,100,92,3.38
Half moon bay,US,37.4635519,-122.4285862,75.2,68,75,10.29
Markova,RU,56.1081477,66.5604504,47.18,82,0,9.86
Port lincoln,AU,-34.7301943,135.8504838,58.16,87,92,18.7
Broome,AU,-17.9614336,122.235852,89.6,14,0,20.8
Okhotsk,RU,59.35845999999999,143.2034909,55.91,87,0,7.18
Riyadh,SA,24.7135517,46.6752957,82.4,11,0,3.36
Ekhabi,RU,53.50858299999999,142.96743,58.16,78,0,4.83
Ilulissat,GL,69.2198118,-51.0986031,37.4,86,75,4.7
Solnechnyy,RU,50.726608,136.644272,59.15,82,12,4.38
Tyshkivka,UA,48.4978938,30.9365392,52.04,87,0,7.74
Mandera,KE,3.3873803,40.6458786,75.17,61,12,14.34
Dingle,IE,52.14093889999999,-10.2640135,56.0,100,92,22.06
Walvis bay,NA,-22.9389587,14.5247463,51.8,87,0,6.93
Greensboro,US,36.0726354,-79.7919754,73.4,88,40,8.05
Mabaruma,GY,8.2041293,-59.7775773,80.3,89,0,6.51
Shimoda,JP,34.6795334,138.945316,78.8,74,75,9.17
Jerez,ES,36.6850064,-6.126074399999999,69.8,93,0,2.15
Saint george,BM,32.3819877,-64.6769793,77.0,69,75,6.93
Sungai besar,MY,3.675398,100.9857899,78.8,94,75,3.36
Fare,PF,39.967072,-75.171281,73.4,88,90,3.71
Katsiveli,UA,44.3934152,33.9715074,67.16,100,0,6.06
Ban bung,TH,13.2878094,101.1051259,86.0,66,0,5.82
Victoria,SC,-4.619143,55.4513149,78.8,83,75,13.87
Toledo,CO,7.307025,-72.48044399999999,53.39,96,56,1.36
Sabha,LY,27.0087129,14.4490398,75.35,41,0,11.21
Turukhansk,RU,65.79585999999999,87.962418,38.36,98,56,6.51
Kupang,ID,-10.1771997,123.6070329,89.6,46,20,4.7
Guacara,VE,10.2646995,-67.8927472,69.8,94,75,1.12
Bengkulu,ID,-3.5778471,102.3463875,76.7,82,56,2.15
Domoni,KM,-12.2632051,44.5290018,76.25,100,80,6.62
Mattru,SL,7.6042266,-12.1718486,71.48,98,48,2.59
Chicama,PE,-7.847994799999999,-79.1407421,62.6,88,90,11.41
Honiara,SB,-9.4456381,159.9728999,87.8,70,75,13.87
Botwood,CA,49.1422983,-55.3440853,46.4,100,40,5.82
Metro,ID,-5.117839399999999,105.3072646,85.61,70,48,5.5
Marawi,SD,18.523319,31.82962,80.84,43,0,4.5
Tahta,EG,26.7647964,31.4982868,77.0,65,0,9.17
Haines junction,CA,60.7544541,-137.5117819,44.48,57,0,2.15
Lukulu,ZM,-14.4076036,23.2587992,61.94,47,0,7.29
Kalmunai,LK,7.414383099999999,81.8306334,76.97,99,88,6.73
Vicuna,CL,-30.0319,-70.7081,33.5,84,0,1.92
Lebu,CL,-37.6097143,-73.6483294,51.41,100,92,20.83
Naruja,GE,41.9087741,41.958701,66.2,68,0,18.34
Burica,PA,8.9933743,-79.5388265,80.6,88,20,4.7
Ostrovnoy,RU,45.8124109,135.2848966,53.03,83,92,3.15
Te anau,NZ,-45.4144515,167.718053,51.5,88,92,13.67
Kuche,CN,41.717906,82.96201599999999,56.27,88,64,3.6
Othaya,KE,-0.5517506999999999,36.9447027,58.88,100,92,4.38
Nyurba,RU,63.2803099,118.3618985,53.48,78,8,5.06
Seydi,TM,39.4286365,62.86175960000001,61.58,44,0,13.56
Duncan,CA,48.7786908,-123.7079417,71.6,72,1,2.93
Sobolevo,RU,54.300693,155.956757,53.39,64,0,12.77
Lujan,AR,-34.5633312,-59.1208805,59.0,82,0,7.96
Muros,ES,42.8073676,-9.0460525,60.8,100,75,2.24
Asau,TV,-7.488197,178.6807179,84.35,100,48,20.71
Gerash,IR,27.6903817,54.1501922,77.0,50,0,1.7
Cambridge,US,42.3736158,-71.10973349999999,71.6,73,20,4.7
Nguiu,AU,-11.7608881,130.6330634,82.19,95,0,2.59
Rockhampton,AU,-23.3790772,150.510016,77.0,36,0,24.16
Pisco,PE,-13.7134562,-76.1841701,64.4,72,90,9.17
Berlevag,NO,70.7198284,29.0300862,42.95,100,92,23.85
Bageshwar,IN,29.8403606,79.769426,63.29,62,0,1.25
Chaihe,CN,47.562627,121.315016,59.33,57,0,3.27
Husavik,IS,66.0449706,-17.3383442,32.0,100,0,5.82
Luwuk,ID,-0.938828,122.792801,76.43,100,88,3.04
Pacific grove,US,36.6177374,-121.9166215,69.8,68,1,9.17
The valley,AI,18.2148129,-63.0574406,79.58,100,56,8.41
Wheeling,US,40.0639616,-80.7209149,71.6,82,90,9.17
Encruzilhada,BR,-15.5306298,-40.91280940000001,58.52,97,36,3.27
Morro bay,US,35.3659445,-120.8499924,73.4,64,1,17.22
Rupert,US,42.6190756,-113.6772348,78.8,46,75,6.93
Alta floresta,BR,-9.8764576,-56.08550899999999,83.0,38,0,4.38
Hamilton,BM,32.2945837,-64.7858887,77.0,69,75,6.93
Murray bridge,AU,-35.1311491,139.2650902,56.45,85,64,18.48
Humaita,BR,-7.5169578,-63.0298013,78.59,89,24,2.15
Nuevo progreso,MX,26.0498321,-97.9511137,91.4,45,1,10.29
Raudeberg,NO,61.9829132,5.1351057,51.8,93,88,12.75
Manado,ID,1.4748305,124.8420794,82.4,78,40,2.24
Rantepao,ID,-2.9703732,119.8757349,70.4,100,76,2.15
Korsakov,RU,46.6353796,142.7841876,57.2,82,40,11.18
Ranong,TH,9.9528702,98.60846409999999,79.13,100,92,7.52
Aksha,RU,50.2850778,113.2766861,57.26,66,36,1.25
Cabedelo,BR,-6.966667,-34.833333,73.4,100,75,11.41
Saint-joseph,RE,-21.3246183,55.64675829999999,68.0,59,75,8.05
Sicamous,CA,50.8378243,-118.9768156,59.0,51,90,26.4
Bereda,SO,37.7538318,-122.4206972,75.2,89,90,9.17
Colombia,CU,20.9874938,-77.4185584,77.0,94,40,3.36
Balaipungut,ID,1.0710103,101.2920619,80.6,83,12,3.36
General roca,AR,-39.032803,-67.5892227,59.0,44,0,2.24
Turbat,PK,26.0080546,63.03830589999999,73.37,72,0,2.82
Kaitangata,NZ,-46.28334,169.8470967,52.58,89,88,13.56
Cap-aux-meules,CA,47.3777379,-61.8713553,66.2,68,5,10.29
Gunjur,GM,13.1806725,-16.7559004,73.4,94,75,20.8
Cherskiy,RU,68.742677,161.3507839,34.94,90,92,8.08
Yumen,CN,40.29184300000001,97.04567800000001,65.09,42,0,7.18
San jeronimo,MX,20.4061494,-103.9854708,69.23,59,0,2.37
San quintin,MX,30.56087669999999,-115.9379302,68.78,77,0,5.84
Hasilpur,PK,29.69025499999999,72.53822930000001,72.2,94,44,11.21
La ronge,CA,55.10823,-105.285989,48.2,70,90,5.82
Kongolo,CD,-5.387502,26.9911288,68.24,97,36,3.6
San ramon,BO,37.7799273,-121.9780153,80.6,60,75,13.87
Trinidad,CU,21.7960343,-79.98081429999999,73.4,100,8,9.17
Amderma,RU,69.751221,61.6636961,38.9,96,88,7.96
Mirnyy,RU,62.5313374,113.9773882,50.78,78,0,6.51
Boyabat,TR,41.46610500000001,34.7711201,49.25,88,0,2.15
Saveh,IR,35.0236107,50.3585065,54.02,64,0,2.15
Geraldton,AU,-28.7773715,114.6149715,75.2,25,0,13.87
Makakilo city,US,21.3469444,-158.0858333,86.0,58,1,9.17
Kungurtug,RU,50.595182,97.519958,42.5,40,24,3.38
Grand gaube,MU,-20.014212,57.6694082,73.4,56,75,12.75
Derzhavinsk,KZ,51.098127,66.3165471,45.02,96,24,3.94
Teguldet,RU,57.304527,88.17174899999999,42.5,75,80,5.84
Hunza,PK,36.316666,74.64998630000001,21.89,79,56,0.25
Vikindu,TZ,-6.9739803,39.2881866,64.46,91,0,2.59
Tautira,PF,-17.74932,-149.160155,82.4,58,20,8.05
Saint-francois,GP,16.2542635,-61.283115,78.8,94,88,5.82
Sokolo,ML,14.7384717,-6.118242899999999,73.46,80,0,3.04
Rincon,AN,33.7415031,-117.840052,80.6,64,20,11.41
Baft,IR,29.233038,56.60089720000001,46.82,45,0,2.59
Black river,JM,18.0335359,-77.85673799999999,84.2,79,20,5.82
Hami,CN,42.81842,93.51514999999999,73.46,45,0,0.69
Mayo,CA,63.59426199999999,-135.8964919,60.8,41,20,2.24
Toba,JP,34.481435,136.8433615,78.8,61,75,9.17
Mount isa,AU,-20.7255748,139.4927085,73.4,15,0,14.99
Mogadishu,SO,2.0469343,45.3181623,77.6,100,92,14.9
Alappuzha,IN,9.498066699999999,76.3388484,74.9,100,92,13.11
Jati,PK,24.3552401,68.26685379999999,80.3,78,12,9.42
Tall kayf,IQ,36.4907739,43.1199722,58.43,46,0,3.94
Nouakchott,MR,18.0735299,-15.9582372,80.93,100,0,10.87
Guerrero negro,MX,27.9591758,-114.056646,71.12,87,0,11.65
Cadiz,ES,36.5270612,-6.2885962,69.8,93,0,2.15
Itarema,BR,-2.9209642,-39.91673979999999,78.95,78,0,17.47
Winnemucca,US,40.9729584,-117.7356849,84.2,20,1,6.93
Kiruna,SE,67.8557995,20.225282,42.8,100,92,6.93
Sala consilina,IT,40.4019157,15.5908015,44.57,100,0,0.81
Rosarito,MX,32.3661011,-117.0617553,75.2,68,40,12.75
Smiltene,LV,57.42306300000001,25.900378,53.12,97,92,15.57
Usinsk,RU,65.9991695,57.5243292,35.48,92,80,12.1
Kenai,US,60.55444439999999,-151.2583333,53.6,93,90,4.7
Tabas,IR,33.6033455,56.9323531,59.15,41,0,2.71
Krasnovishersk,RU,60.4050484,57.0720287,58.25,96,92,11.54
Andilamena,MG,-17.0127475,48.57126299999999,53.21,94,88,6.17
Pangkalanbuun,ID,-2.688962000000001,111.622398,86.42,71,20,8.52
Talesh,IR,37.8016324,48.907262,77.6,100,68,4.16
Mayskiy,RU,43.63639149999999,44.0628764,62.6,59,0,6.71
San vicente,PH,10.5126542,119.3645562,84.17,95,56,14.12
Kemijarvi,FI,66.7136282,27.4292063,45.02,100,88,4.94
Mbandaka,CD,0.0265717,18.2970692,72.65,100,92,1.92
Marica,BR,-22.9160994,-42.819192,75.2,78,0,6.93
Tvoroyri,FO,61.5557494,-6.811948,44.6,93,88,29.97
Bataipora,BR,-22.2951897,-53.2715408,77.96,32,0,13.22
Itoman,JP,26.1235841,127.6658145,84.2,79,75,24.16
Ulaangom,MN,49.9903359,92.0557583,41.42,48,76,2.93
Nalut,LY,31.8742348,10.9750484,58.88,64,0,4.16
Goderich,SL,8.427560999999999,-13.285784,76.34,100,92,3.15
Seoul,KR,37.566535,126.9779692,73.4,49,0,6.93
Kokkola,FI,63.8415002,23.1250337,48.2,100,90,2.59
Talnakh,RU,69.5,88.39999999999999,35.75,100,92,5.95
Macaboboni,PH,16.1952956,119.7802409,84.89,95,36,14.56
Wadena,CA,51.94450699999999,-103.80147,49.25,97,100,3.38
Buqayq,SA,25.9168154,49.67072049999999,86.0,27,0,9.17
La palma,PA,40.6035139,-75.4790678,73.4,100,90,2.48
Coihaique,CL,-45.5712254,-72.068265,29.45,62,0,6.29
Pedasi,PA,7.5202138,-80.0758425,77.06,100,76,4.16
Prieska,ZA,-29.7069446,22.739048,50.96,39,0,2.82
Ormara,PK,25.2665929,64.6095785,78.59,94,92,6.51
Sao joao da barra,BR,-21.6368446,-41.0484428,73.4,78,20,20.8
